p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene_symbol,Protein_ID,gene,swissprot_symbol,trembl_symbol,ncbi_symbol
0,2.279696122596097,0.955,0.376,0,1,CATL.7,evm.model.Ap4.5489,evm.TU.Ap4.5489,Cathepsin L,Predicted protein,cathepsin L1-like [Orbicella faveolata]
0,1.9187666739737388,0.961,0.422,0,1,evm.TU.Ap3.1613,evm.model.Ap3.1613,evm.TU.Ap3.1613,NA,Uncharacterized protein,DNA ligase 1-like [Orbicella faveolata]
0,2.0229126220025697,0.957,0.449,0,1,CATB.1,evm.model.Ap9.2740,evm.TU.Ap9.2740,Cathepsin B,Cathepsin B,cathepsin B-like [Stylophora pistillata]
1e-323,2.541962517608429,0.754,0.2,3.0658e-319,1,EPDR1.1,evm.model.Ap13.2163,evm.TU.Ap13.2163,Mammalian ependymin-related protein 1,Mammalian ependymin-related protein 1,"mammalian ependymin-related protein 1-like, partial [Orbicella faveolata]"
7.78790733264848e-287,2.3830080408560788,0.779,0.263,2.4162761290275174e-282,1,HEBP2.2,evm.model.Ap1.3218,evm.TU.Ap1.3218,Heme-binding protein 2,Uncharacterized protein,uncharacterized protein LOC110064666 [Orbicella faveolata]
4.312344947990543e-278,1.623311875832587,0.909,0.411,1.3379481435635458e-273,1,APLP,evm.model.Ap14.1598,evm.TU.Ap14.1598,Apolipophorins,Apolipophorin,uncharacterized protein LOC110065941 [Orbicella faveolata]
4.7873670554929184e-272,2.244304062917127,0.738,0.219,1.4853285026372329e-267,1,CATL.8,evm.model.Ap4.5488,evm.TU.Ap4.5488,Cathepsin L,Predicted protein,cathepsin L1-like [Orbicella faveolata]
7.7644270540997e-245,2.6207172200590363,0.626,0.154,2.4089911378049733e-240,1,GILT,evm.model.Ap4.6695,evm.TU.Ap4.6695,Gamma-interferon-inducible lysosomal thiol reductase,Gamma-interferon-inducible lysosomal thiol reductase,gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]
8.859081021843539e-241,1.5809137104801012,0.872,0.401,2.7486184778371766e-236,1,CRA1B.3,evm.model.Ap7.2874,evm.TU.Ap7.2874,Collagen alpha-1(XXVII) chain B,Collagen alpha-1(XXVII) chain B,collagen alpha-1(I) chain-like [Orbicella faveolata]
3.2031761089878232e-232,1.5915797368839568,0.828,0.326,9.938174195745621e-228,1,CO4A1.4,evm.model.Ap7.124,evm.TU.Ap7.124,Collagen alpha-1(IV) chain,Collagen alpha-1(XXVII) chain B,collagen alpha-1(I) chain-like [Stylophora pistillata]
4.275135602835416e-228,1.2990480910904605,0.978,0.846,1.3264035721357162e-223,1,ACTC,evm.model.Ap10.1927,evm.TU.Ap10.1927,"Actin, cytoplasmic","Actin, cytoplasmic","actin, cytoplasmic [Orbicella faveolata]"
2.3050155700987316e-219,2.3832294665778853,0.62,0.163,7.151541307788324e-215,1,GSTMU,evm.model.Ap10.28,evm.TU.Ap10.28,Glutathione S-transferase Y1,Glutathione S-transferase Y1,glutathione S-transferase Mu 1-like isoform X3 [Orbicella faveolata]
7.080137314264407e-219,2.6470924918047594,0.595,0.151,2.196683403123675e-214,1,evm.TU.Ap2.3643,evm.model.Ap2.3643,evm.TU.Ap2.3643,NA,Uncharacterized protein,uncharacterized protein LOC110054211 [Orbicella faveolata]
1.7865208591279948e-217,1.6093753440856435,0.869,0.529,5.542859617530517e-213,1,LAMP1.1,evm.model.Ap8.256,evm.TU.Ap8.256,Lysosome-associated membrane glycoprotein 1,Lysosome-associated membrane glycoprotein 1,lysosome-associated membrane glycoprotein 1-like [Stylophora pistillata]
6.019529311450354e-217,1.2779146660865086,0.938,0.759,1.8676191641705867e-212,1,SAHH,evm.model.Ap4.6582,evm.TU.Ap4.6582,Adenosylhomocysteinase,Adenosylhomocysteinase B,adenosylhomocysteinase B-like [Orbicella faveolata]
1.1260213968797428e-216,1.5306107808796106,0.836,0.361,3.49359398595909e-212,1,COA,evm.model.Ap7.113,evm.TU.Ap7.113,Collagen alpha chain (Fragment),Collagen alpha-2(I) chain,collagen alpha chain-like [Stylophora pistillata]
3.877356894813716e-215,1.3480479609033011,0.766,0.271,1.2029887501849036e-210,1,CO3,evm.model.Ap1.3443,evm.TU.Ap1.3443,Complement C3,Complement C3,complement C3-like [Orbicella faveolata]
9.058356582406913e-215,1.6147742707974162,0.888,0.541,2.810445713257569e-210,1,GRN.5,evm.model.Ap7.1070,evm.TU.Ap7.1070,Granulins,Uncharacterized protein,putative kielin/chordin-like protein isoform X1 [Apostichopus japonicus]
1.2943008243290857e-213,1.3265010275037037,0.905,0.669,4.015697737563421e-209,1,FAXC.29,evm.model.Ap2.483,evm.TU.Ap2.483,Failed axon connections homolog,Failed axon connections-like,failed axon connections homolog [Orbicella faveolata]
2.262715835868791e-204,1.6908186550483824,0.789,0.338,7.020302152366512e-200,1,SAP,evm.model.Ap2.3217,evm.TU.Ap2.3217,Prosaposin,Prosaposin,prosaposin-like [Orbicella faveolata]
3.385339230794375e-204,2.4670025510063307,0.55,0.124,1.0503353497462627e-199,1,GILT.2,evm.model.Ap4.6696,evm.TU.Ap4.6696,Gamma-interferon-inducible lysosomal thiol reductase,Gamma-interferon-inducible lysosomal thiol reductase,gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]
