gene_symbol	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	diffexpressed	Protein_ID	gene	swissprot_symbol	trembl_symbol	ncbi_symbol	Swiss.Prot_Hit	SP_E.value	Swiss.Prot_Description	Trembl_Hit	TB_E.value	Trembl_Description	NCBI_hit	nr_E.value	NCBI_Description	GO_Swiss.Prot	GO_Trembl
ANKS3	2.15678647480835e-21	3.53546453301044	0.395	0.057	5.33071345113631e-17	sym	evm.model.Ap12.839	evm.TU.Ap12.839	Ankyrin repeat and SAM domain-containing protein 3	Ankyrin repeat and SAM domain-containing protein 3	ankyrin repeat and SAM domain-containing protein 3-like [Orbicella faveolata]	sp|Q5M9H0|ANKS3_RAT	1.12e-79	Ankyrin repeat and SAM domain-containing protein 3 OS=Rattus norvegicus GN=Anks3 PE=1 SV=1	tr|A0A2B4RYB5|A0A2B4RYB5_STYPI	0	Ankyrin repeat and SAM domain-containing protein 3 OS=Stylophora pistillata GN=Anks3 PE=4 SV=1	ref|XP_020627992.1|	0	ankyrin repeat and SAM domain-containing protein 3-like [Orbicella faveolata]		
ASSY.1	1.07213356998248e-09	1.97130000070522	0.323	0.118	2.64988533156871e-05	sym	evm.model.Ap1.3444	evm.TU.Ap1.3444	Argininosuccinate synthase	Argininosuccinate synthase	argininosuccinate synthase-like [Stylophora pistillata]	sp|Q66I24|ASSY_DANRE	0	Argininosuccinate synthase OS=Danio rerio GN=ass1 PE=2 SV=1	tr|A0A2B4S7F2|A0A2B4S7F2_STYPI	0	Argininosuccinate synthase OS=Stylophora pistillata GN=ass1 PE=4 SV=1	ref|XP_022788984.1|	0	argininosuccinate synthase-like [Stylophora pistillata]	GO:0005737; GO:0005829; GO:0004055; GO:0005524; GO:0006526; GO:0000053; GO:0000050	GO:0004055; GO:0005524; GO:0003677; GO:0003700; GO:0006526; GO:0007165
ARLY	3.87484535708412e-09	3.61857613392001	0.299	0.031	9.57706778456911e-05	sym	evm.model.Ap8.205	evm.TU.Ap8.205	Argininosuccinate lyase	Predicted protein	argininosuccinate lyase-like [Stylophora pistillata]	sp|P20673|ARLY_RAT	0	Argininosuccinate lyase OS=Rattus norvegicus GN=Asl PE=2 SV=1	tr|A7SM51|A7SM51_NEMVE	0	Predicted protein OS=Nematostella vectensis GN=v1g172052 PE=3 SV=1	ref|XP_022793039.1|	0	argininosuccinate lyase-like [Stylophora pistillata]	GO:0070852; GO:0005737; GO:0005783; GO:0070062; GO:0005741; GO:0043025; GO:0005634; GO:0043204; GO:0048471; GO:0004056; GO:0042802; GO:0007568; GO:0019676; GO:0006526; GO:0042450; GO:0000053; GO:0006520; GO:0071242; GO:0071320; GO:0071549; GO:0071377; GO:0071385; GO:0071456; GO:0071346; GO:0071356; GO:0060539; GO:0001822; GO:0001889; GO:0007626; GO:0007494; GO:0009791; GO:0014075; GO:0042493; GO:0060416; GO:0032496; GO:0007584; GO:0043434; GO:0048545; GO:0009636; GO:0010043; GO:0000050	GO:0005737; GO:0004056; GO:0042450
USOM7.10	1.76118991102077e-06	-1.66697585606102	0.137	0.245	0.0435295698407894	apo	evm.model.Ap4.7018	evm.TU.Ap4.7018	Uncharacterized skeletal organic matrix protein 7	Uncharacterized protein	LOW QUALITY PROTEIN: uncharacterized skeletal organic matrix protein 7-like [Orbicella faveolata]	sp|B8WI85|USOM7_ACRMI	1.55e-176	Uncharacterized skeletal organic matrix protein 7 OS=Acropora millepora PE=1 SV=1	tr|A0A2B4SXL5|A0A2B4SXL5_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene1831 PE=4 SV=1	ref|XP_020632172.1|	0	LOW QUALITY PROTEIN: uncharacterized skeletal organic matrix protein 7-like [Orbicella faveolata]	GO:0005576	
TRPC5.15	0.000720051951500579	2.23447180682822	0.198	0.052	1	sym	evm.model.Ap1.3037	evm.TU.Ap1.3037	Short transient receptor potential channel 5	Short transient receptor potential channel 5	short transient receptor potential channel 4-like [Orbicella faveolata]	sp|Q9QX29|TRPC5_MOUSE	2.83e-47	Short transient receptor potential channel 5 OS=Mus musculus GN=Trpc5 PE=1 SV=2	tr|A0A2B4SCN2|A0A2B4SCN2_STYPI	0	Short transient receptor potential channel 5 OS=Stylophora pistillata GN=Trpc5 PE=4 SV=1	ref|XP_020610406.1|	0	short transient receptor potential channel 4-like [Orbicella faveolata]	GO:0034704; GO:0005737; GO:0030425; GO:0030426; GO:0005887; GO:0045121; GO:0043025; GO:0003779; GO:0042805; GO:0051117; GO:0005262; GO:0030276; GO:0070679; GO:0015279; GO:0006828; GO:0050774; GO:0030182; GO:0045773; GO:0008284; GO:0007204; GO:0010800; GO:0051480; GO:1902630	GO:0016021; GO:0005262
ACOD.2	0.00163569456364729	3.03774107926977	0.131	0.024	1	sym	evm.model.Ap9.2428	evm.TU.Ap9.2428	Acyl-CoA desaturase	Acyl-CoA desaturase	stearoyl-CoA desaturase 5-like [Orbicella faveolata]	sp|Q92038|ACOD_CYPCA	7.96e-125	Acyl-CoA desaturase OS=Cyprinus carpio PE=2 SV=2	tr|A0A2B4RAF9|A0A2B4RAF9_STYPI	0	Acyl-CoA desaturase OS=Stylophora pistillata GN=2 PE=4 SV=1	ref|XP_020610221.1|	0	stearoyl-CoA desaturase 5-like [Orbicella faveolata]	GO:0005789; GO:0016021; GO:0005506; GO:0016491; GO:0004768; GO:0006636	GO:0016021; GO:0016717; GO:0006633
ACBG2	0.00221603560592302	2.16353348173447	0.137	0.061	1	sym	evm.model.Ap1.729	evm.TU.Ap1.729	Long-chain-fatty-acid--CoA ligase ACSBG2	Long-chain-fatty-acid--CoA ligase ACSBG2	long-chain-fatty-acid--CoA ligase ACSBG2-like isoform X1 [Stylophora pistillata]	sp|Q7ZYC4|ACBG2_XENLA	0	Long-chain-fatty-acid--CoA ligase ACSBG2 OS=Xenopus laevis GN=acsbg2 PE=2 SV=1	tr|A0A2B4SCJ5|A0A2B4SCJ5_STYPI	0	Long-chain-fatty-acid--CoA ligase ACSBG2 OS=Stylophora pistillata GN=acsbg2 PE=4 SV=1	gb|PFX26540.1|	0	long-chain-fatty-acid--CoA ligase ACSBG2-like isoform X1 [Stylophora pistillata]	GO:0005737; GO:0005524; GO:0102391; GO:0004467	GO:0016874; GO:0008152
TRAF3.10	0.00752267485980253	-1.66648734433573	0.09	0.203	1	apo	evm.model.Ap13.1935	evm.TU.Ap13.1935	TNF receptor-associated factor 3	TNF receptor-associated factor 3	TNF receptor-associated factor 3-like [Stylophora pistillata]	sp|Q13114|TRAF3_HUMAN	1.21e-116	TNF receptor-associated factor 3 OS=Homo sapiens GN=TRAF3 PE=1 SV=2	tr|A0A2B4RZF5|A0A2B4RZF5_STYPI	0	TNF receptor-associated factor 3 OS=Stylophora pistillata GN=Traf3 PE=4 SV=1	gb|PFX22536.1|	0	TNF receptor-associated factor 3-like [Stylophora pistillata]	GO:0035631; GO:0009898; GO:0005829; GO:0005768; GO:0005739; GO:0019901; GO:0019903; GO:0004871; GO:0031996; GO:0005164; GO:0031625; GO:0004842; GO:0008270; GO:0006915; GO:0045087; GO:0032088; GO:0032480; GO:0016579; GO:0042981; GO:0001817; GO:0050688; GO:0032648; GO:0030162; GO:0007165; GO:0008063; GO:0002224; GO:0035666; GO:0033209	GO:0005164; GO:0008270; GO:0045087; GO:0032088; GO:0042981; GO:0001817; GO:0050688; GO:0008063; GO:0033209
GILT	0.00866325992431464	-2.13287167221841	0.055	0.186	1	apo	evm.model.Ap4.6695	evm.TU.Ap4.6695	Gamma-interferon-inducible lysosomal thiol reductase	Gamma-interferon-inducible lysosomal thiol reductase	gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]	sp|Q5XJN2|GILT_DANRE	1.28e-56	Gamma-interferon-inducible lysosomal thiol reductase OS=Danio rerio GN=ifi30 PE=1 SV=1	tr|A0A2B4SSD0|A0A2B4SSD0_STYPI	2.27e-120	Gamma-interferon-inducible lysosomal thiol reductase OS=Stylophora pistillata GN=IFI30 PE=4 SV=1	ref|XP_020602860.1|	2.25e-128	gamma-interferon-inducible lysosomal thiol reductase-like [Orbicella faveolata]	GO:0005576; GO:0005764; GO:0047134; GO:0002376	GO:0016021
VIT	0.0137711658156919	0.197493031862906	0.337	0.338	1	sym	evm.model.Ap14.1897	evm.TU.Ap14.1897	Vitellogenin (Fragment)	Vitellogenin	vitellogenin-like [Stylophora pistillata]	sp|Q90243|VIT_ACITR	3.12e-60	Vitellogenin (Fragment) OS=Acipenser transmontanus PE=2 SV=1	tr|A0A2B4SSW5|A0A2B4SSW5_STYPI	0	Vitellogenin OS=Stylophora pistillata GN=AWC38_SpisGene2954 PE=4 SV=1	ref|XP_022779720.1|	0	vitellogenin-like [Stylophora pistillata]	GO:0005319; GO:0045735	GO:0005319
